fishing boats,colors of,the rainbow
dusk --,that song,still makes me cry
Holy Week --,three bare trees,against a gray sky
morning mist --,the fragrance,of strong coffee
bitter wine --,time for that conversation,about Mom
the old oak tree,where we first kissed,"marked with an ""X"""
new photos,of my granddaughter --,crocuses in bloom
twilight --,she tells me she has,a spare toothbrush
crescent moon --,the fullness,of her hips
still pond --,koi swim,through the sky
tempest in a teapot --,my mother,serves me decaf
equinox --,an 18-wheeler crossing,the double yellow line
equinox --,splitting,the last of the wine
still wandering,the empty corridor --,cheap perfume
winter storm watch --,beware of falling,stock prices
empty terminal --,headline news,for ghosts
wolf moon --,the sway,of her hips
mid-winter thaw --,an unscratched,lottery ticket
crowded train --,a clash,of perfumes 
new moon -- ,forgetting,old acquaintances
the blank page,learning nothing,from the pine
abandoned playground --,the graffiti,fades 
first date --,trying not to talk,to her cleavage
crescent moon --,the dog sleeps,with one eye open
dusting off,the Christmas lights --,gibbous moon
cold coffee --,the crunch of a Christmas ball,under foot
her lips,beckoning mine --,highway billboard
snow flurries --,my unborn granddaughter's,heartbeat
darkening skies --,the final hours,of the weekend 
the moon,and my wine glass,half full
town landfill --,old timers,arguing politics
stock market report --,a stalled car,in the intersection
Day of the Dead --,all the leftover,Halloween candy 
hunter's moon --,searching,for my keys
cold night --,I become,the dog's pillow
first snow --,an almost,perfect shave
fair-weather clouds --,an ultrasound,of my next grandchild
a true wonder of the world --,how she fills,her Grand Canyon t-shirt
unable to sleep,unable to stay awake --,a distant ocean
my rising blood pressure -,a vapor trail,in the sky
October dusk --,wishing I could see,just one more firefly
hot city night --,the sizzle,of a broken sub-woofer
her long legs ...,I walk right into,a spider web
loosening,the top button of her blouse,with my eyes
snow turns to rain --,the afterglow,of the plow lights
snow day --,more white than I remember,in my beard
footprints in the snow,words,I can't take back
New London winter --,the gleam of pleasure boats,wrapped in plastic
winter chill -,shredded plastic,in a barbed wire fence
lazy midtown morning -,another layer of paint,on the rusty fire escape 
lazy midtown morning -,do those green copper gargoyles,feel the cold? 
first of December -,the darkness,before dawn
first of December -,police tape clinging,to a burned-out barn
winter clouds -,my gray hair,grayer
December rain -,the long night,longer
a break in the clouds --,my third cup of coffee,grows cold
clear skies --,a solitary crow,on a high-voltage wire
November dusk --,do the streetlights know,how early it is?
November dusk --,the warmth,of a familiar song
overcast --,just one more game,of solitaire
more rain --,a mouse trapped,between walls
new moon --,an abandoned car,on lover's lane
new moon --,a missing,mouse trap 
new moon --,the mouse in the ceiling,awakens
autumn equinox --,my baseball glove,right where I left it
sudden chill --,an empty bird feeder,outside the nursing home
waning moon --,a hand-printed sign reads:,"""lost dog"""
heat wave --,the dog moves slowly,from shadow to shadow
restless night --,a tree frog,in and out of tune 
morning haze --,one light rinse of the coffee cup,is good enough
Memorial Day --,stars obscured,by distant smoke
red dragonfly --,my newest granddaughter's,tiny fingers
June cold snap,the next-door neighbor's,house for sale
after the rain,a light on in the basement,of an empty house
finally Friday --,the dog so attentive,around the grill
cold April rain --,I no longer remember,your name
cold April rain --,my daughter's birthday,on another continent
going out of business — ,the naked mannequin’s ,Mardi Gras beads
caffeine buzz --,snow in the forecast,somewhere else
moonless night --,an ambulance speeds by,with its lights out
moonless night --,an empty can,of whipped cream
moonless night --,pulling the dog,from shadow to shadow
too wired to sleep,too tired to dream,winter wind
crowded train --,her perfect lips,pierced
autumn rain --,the warmth of one too many,glasses of wine 
wolf moon --,the dog,won’t come in
blue moon --,I wonder where my children,are tonight ?
bitter cold —,even the Christmas lights,seem to shiver
December rain —,a phone call,from my son
December rain —,a deer tail,and then nothing
April overcast --,my son turns twenty,in Iraq
March --,a broken umbrella,crosses the street
deep winter --,a stray dog sniffs,an empty coffee cup
late train --,all the highlighted passages,in his bible
one week before Christmas,a three-legged dog,sniffs the trash
crowded train --,the drunk offers me his seat,for five dollars
the trainyard at dawn --,new graffiti,on an old caboose
equinox --,two limes,in my margarita
Veteran's Day --,a frightened dog,at the animal shelter
twilight --,I direct a stranger,to the wrong train
Valentine's Day --,awakened by a kiss,from the dog
burning leaves --,Kerry concedes,the election
rumors of war --,removing decorations,from the Christmas tree
dirty snow,the conductor flirts,with school girls
troubled sleep --,steam rises,from a storm sewer
my daughter's 18th birthday --,the warming sunshine,in her hair
Wall Street watch --,the unnerving plunge,of her neckline
stood up,by a part-time lover --,shooting star
orthopedist's office --,all paintings tilted,slightly off center
afghan invasion --,the dog,on my side of the bed
approaching storm --,my twelve year-old's fascination,with war
Autumn colors --,the receptionist's,bright red hair
first frost --,I trim,my graying beard
three shades too dark,the lipstick,on his collar
a familar name,on the victims list --,my coffee grows cold
between,silent construction cranes,the Milky Way
the end of summer --,my light beer,suddenly darker
my daughter starts college --,another empty,pint of beer
first day of vacation --,shooting star,on a moonless night
train running late,an ant climbs,the station wall
planning our trip,lightning flashes,beyond the horizon
dangerous lightning --,she watches me,watching her
unhooking her bra,the moon peeks,over the treetops
distant thunder --,a shower of pollen,falls from the trees
the haze lifts --,she tosses her hair,over her shoulder
my daughter's graduation,tightening the knot,on my necktie
crowded train station --,the tap tap thump,of a blind man's cane
staring at me,from the bathroom mirror,an age spot
my son's twelfth birthday,a rabbit hops,across the busy street
sunny spring day,walking through a cloud,of perfume
the train arrives,one more sip,from an empty cup of coffee
wedding night,the parents of the bride,in separate beds
Spring snow --,an expecting mother rests,her hands on her belly
energy crisis --,long line,at the coffee shop
Ash Wednesday --,the priest,lights a cigarette
where dirty snow,meets road salt,a dozen roses
snow mixes with rain --,my mother keeps calling me,by my brother's name
away on business --,the restless cat,on your side of the bed
lunch hour --,the automatic teller machine,eats my card
staring at her neckline,the deep plunge,of the NASDAQ
the NASDAQ falls --,moss clings,to a weathered tombstone
troubled sleep --,somewhere in the darkness,an unlocked door
commuter daydream --,I follow the slit in her skirt,into oncoming trafic
her well-tanned shoulders,wrapped in a sweater --,the end of summer
asleep on the train,the gentle rise and fall,of her breasts
first date --,under the streetlight,our shadows hold hands
tent revival,the preacher's wife,in a miracle bra
Mass Pike trafic,the bright red glare,of her lipstick
reflecting,the graffiti landscape,Soho rain
my son's eleventh birthday --,miles of cold gray rain,between us
in the produce aisle,a voluptuous woman,compares melons
market forecast:,record warmth,followed by rain
bitterly cold,a box of old love letters,hidden in the attic
after four hours of sleep,light snow fills,an empty cup
children dancing,circles in the rain-,autumn leaves
falling leaves-,unpacking winter clothes,from cedar trunks
summer heat,my air conditioner,sweating
summer's end-,one haiku becomes,another
Twin Towers-,where once two shadows,now only sun
rice seedlings-,each step deeper,in the mud
temple courtyard,through the morning fog,peach blossoms
abandoned house --,children picking mangoes,in the yard
power outage,the distant sound,of a saxophone
late summer,an inchworm,less than an inch
talk of dying,the mention of ranch land,I have never seen
spring morning,flies return,to a crab carcass
migrating swallows,she tells me,she'll pray for me
letter from overseas,a call from southward geese,penetrates the thicket
spring mist,the tree I take shelter under,planted in remembrance
first raindrops,the freight train I passed,two states ago
hard winter ground -,we argue about,the constellations
walking to work -,the blossoms on my street,late this year
snow outside,a small bowl,of imported oranges
Veterans' cemetery--,a wide expanse of lawn,beyond the graves.
A pear;,A worm's hole leaves,a bitter taste.
tin ceiling,grandma talks of a world,before the war
anniversary,an old dress on the line,fills with wind
diagnosis day,coffee rings left,on the counter
lighting a candle ,with a candle,another night of snow
freezing rain,the cafe crooner slips,out of tune 
the smell,before the sound of it,evening rain
thunderheads,hanging on the horizon,a red tailed hawk
reading obituaries,the here and there,of fireflies 
the parking lot,down to one puddle,of moon 
before the storm,the thunder,of lawnmowers
in and out,of the rusted shed,moonshine
dusk,the old gate sags,into its shadow
all day rain,the refrigerator’s,ommmmm
jumping ice cubes,all over the floor,... a hair in my whiskey
new freedom,blue dress now,a table cloth
blowing bubbles,my breath floats away,in different sizes
