Force and yielding meet,together: An attack,is half repulsed.
In serried rows I,"guess the straight, stiff stems Of hollyhocks",Against the rocks.
Who shall,declare the joy,of the running!
Who shall tell,of the pleasures,of flight!
Springing and spurning the,"tufts of wild heather, Sweeping, wide-winged, through",the blue dome of light.
Everything mortal has,"moments immortal, Swift and God-gifted,",immeasurably bright.
Joy in the,touch of the wind and,the sunlight!
With the vigorous,earth I am,one.
"To be a flower Nodding in the sun, Bending,","then upspringing As the breezes run; Holding up A scent-brimmed cup, Full",of summer's fragrance to the summer sun.
"To be a butterfly Still,","upon a flower, Winking with its painted","wings, Happy in the hour."
Blossoms hold Mines of,gold Deep within the farthest heart,of each chaliced flower.
"To be a cloud Blowing through the blue, Shadowing","the mountains, Rushing loudly through Valleys deep Where torrents keep Always",their plunging thunder and their misty arch of blue.
To be a wave Splintering,"on the sand, Drawing back, but leaving",Lingeringly the land.
Rainbow light Flashes,bright Telling tales of coral caves,half hid in yellow sand.
"Soon they die, the flowers; Insects",live a day; Clouds dissolve in showers; Only,waves at play Last forever.
Shall endeavor Make,a sea of purpose mightier,than we dream to-day?
He whistled a little frivolous tune Which he felt,"to be pulsing with ecstasy, For he thought that success always followed","desire, Such a very superlative fool was he."
A maiden came by on an ambling,"mule, Her gown was rose-red and her kerchief blue, On her lap",she carried a basket of eggs.
"Thought the fool,","""There is certainly",room for two.
""" So he jauntily swaggered",towards the maid And put out,his hand to the bridle-rein.
"""My pretty girl,"" quoth the","fool, ""take me up, For to ride with you",to the town I am fain.
""" But the maiden struck at his",upraised arm And pelted him hotly,"with eggs, a score."
"The mule, lashed into","a fury, ran; The fool went back",to his stone and swore.
Then out of the cloud of settling,"dust The burly form of an abbot appeared, Reading",his office he rode to the town.
And the,"fool got up, for",his heart was cheered.
He stood in the midst,"of the long, white road And swept off his",cap till it touched the ground.
"""Ah, Reverent Sir, well","met,"" said the fool, ""A worthier transport",never was found.
"""I pray you allow me to","mount with you, Your palfrey seems",both sturdy and young.
""" The abbot looked up",from the holy book And cried out in,"anger, ""Hold your tongue!"
"""How dare you obstruct the King's","highroad, You saucy varlet,",get out of my way.
""" Then he gave the fool a","cut with his whip And leaving him smarting,",he rode away.
"The fool was angry,","the fool was sore, And he cursed",the folly of monks and maids.
"""If I could but meet with a","man,"" sighed the fool, ""For a woman fears,",and a friar upbraids.
""" Then he saw a flashing of distant steel And the","clanking of harness greeted his ears, And up the road journeyed","knights-at-arms, With waving plumes and glittering spears."
The fool took notice,"and slowly arose, Not quite",so sure was his foolish heart.
If priests and women,would none of him Was it likely,a knight would take his part?
"They sang as they rode, these lusty boys, When","one chanced to turn toward the highway's side, ""There's a sorry","figure of fun,"" jested he, ""Well, Sirrah!"
"move back, there",is scarce room,to ride.
""" Then the",company halted,and laughed out loud.
"""Was such a",request ever,made to a knight?
""" ""And where are your legs,"" asked","one, ""if you start, You may be inside",the town gates to-night.
""" ""'T is a lazy fellow, let","him alone, They've no room in the town",for such idlers as he.
""" But one bent from his saddle","and said, ""My man, Art thou not ashamed",to beg charity!
"""Thou art well set up, and thy legs are strong, But",it much misgives me lest thou'rt a fool; For beggars get only a beggar's,"crust, Wise men are reared in a different school."
"Purple tree-shadows crept over the road, The level","sun flung an orange light, And the fool laid his head on the hard, gray",stone And wept as he realized advancing night.
"A great, round moon rose over a hill And the","steady wind blew yet more cool; And crouched on a stone a wayfarer sobbed,",For at last he knew he was only a fool.
The stars hang thick in the apple,"tree, The south wind smells of the pungent sea, Gold",tulip cups are heavy with dew.
The night's,"for you, Sweetheart,",for you!
Starfire,rains from the vaulted,blue.
The dancing,of unseen,leaves.
A drowsy,swallow stirs in the,eaves.
Only a,maiden is,sorrowing.
'T is night,"and spring, Sweetheart,",and spring!
Starfire,lights your heart's,blossoming.
In the intimate dark there's never,"an ear, Though the tulips stand on tiptoe to hear, So",give; ripe fruit must shrivel or fall.
As you,"are mine, Sweetheart,",give all!
Starfire,"sparkles, your",coronal.
What,is,poetry?
Is it a mosaic,Of coloured stones which curiously,are wrought Into a pattern?
Softly the water ripples Against,"the canoe's curving side, Softly the birch trees rustle",Flinging over us branches wide.
"From the shore come the scents of a garden,",And between a gap in the trees A proud white statue,"glimmers In cold, disdainful ease."
"The child of a southern people, The thought","of an alien race, What does she in this pale, northern","garden, How reconcile it with her grace?"
But the moon in her wayward beauty Is,"ever and always the same, As lovely as when upon",Latmos She watched till Endymion came.
Through the water the moon writes her legends,"In light, on the smooth, wet sand; They endure for a moment,","and vanish, And no one may understand."
All round us the secret of Nature Is telling,"itself to our sight, We may guess at her meaning but",never Can know the full mystery of night.
"But her power of enchantment is on us,","We bow to the spell which she weaves, Made up of the murmur",of waves And the manifold whisper of leaves.
To me,it is,not so.
"To me alone it is a time of pause, A","void and silent space between two worlds, When inspiration lags, and feeling","sleeps, Gathering strength for efforts yet to come."
"For life alone is creator of life, And closest",contact with the human world Is like a lantern shining in the,night To light me to a knowledge of myself.
"As for a moment he stands, in hardy masculine beauty,","Poised on the fircrested rock, over the pool which below him Gleams in the","wavering sunlight, waiting the shock of his plunging."
"So for a moment I stand, my feet","planted firm in the present, Eagerly scanning the",future which is so soon to possess me.
""" Later the solitude vanished,",confused and distracted the road Where many,were seeking and jostling.
"Left behind were the trees and the flowers,","The half-realized beauty of quiet, the sacred",unconscious communing.
"And now he is come to a river, a","line of gray, sullen water, Not blue and splashing, but dark,",rolling somberly on to the ocean.
But on the far side,is a city whose windows flame,gold in the sunset.
"be strong to uphold him, and bear him","across to the city, The beautiful city",whose spires still glow with the fires of sunset!
"Look, Dear,",how bright the moonlight,is to-night!
See where it casts the,shadow of that tree Far out,upon the grass.
It seems as though the garden which you love Were like,"a swinging censer, its incense Floating before us as a",reverent act To sanctify and bless our night of love.
I need to hear it often,"for my heart Doubts naturally,",and finds it hard to trust.
"Ah, Dearest, you are good to love me so, And yet","I would not have it goodness, rather Excess of selfishness in","you to need Me through and through, as flowers need the sun."
Has your life too been,"waiting for this time, Not only",mine the sharpness of this joy?
"Dear Heart, I love you,",worship you as though I were a priest,before a holy shrine.
"I'm glad that you are beautiful, although Were","you not lovely still I needs must love; But you are all things, it",must have been so For otherwise it were not you.
"Come, close; When you are in the circle",of my arm Faith grows a mountain and I take my,stand Upon its utmost top.
"Yes, yes, once more Kiss me, and","let me feel you very near Wanting me wholly,",even as I want you.
Have,years behind,been dark?
Will those to come,Bring unguessed sorrows into,our two lives?
What does,"it matter, we",have had to-night!
To-night will make us,"strong, for we believe Each in the other,",this is a sacrament.
"I know a country laced with roads, They join the","hills and they span the brooks, They weave like a shuttle between broad","fields, And slide discreetly through hidden nooks."
They are canopied like,a Persian dome And carpeted,with orient dyes.
"They are myriad-voiced,","and musical, And scented with",happiest memories.
O Winding roads that,"I know so well, Every twist and","turn, every hollow and hill!"
They are set in my,heart to a pulsing tune Gay as a,honey-bee humming in June.
